assieds toi !	sit down !
je ne le dirai pas a tom .	i won t tell tom .
choisissez une date !	pick a date .
reveille toi tom !	wake up tom .
tu es une celebrite .	you re a star .
magnez vous les filles !	hurry up girls .
nous sommes enneiges .	we re snowed in .
tom est nu .	tom is naked .
je peux partir maintenant ?	may i leave now ?
j ai un poids lourd .	i have a truck .
j ai fait des muffins .	i made muffins .
l amour c est de la folie .	love is crazy .
ne sois pas alarme .	don t be alarmed .
tom est mur .	tom is mature .
faisons ca .	let s do this .
ouvre une porte .	open the door .
c est trop gros .	it s too big .
j ai des pellicules .	i have dandruff .
vous etes givree !	you re nuts !
tom est implique .	tom is involved .
il m a laissee partir .	he let me go .
il est ethiopien .	he is ethiopian .
c est mon chat .	this is my cat .
nous allons bien .	we re ok .
serieusement ?	seriously ?
c est injuste .	it is unfair .
faites un agreable repas !	enjoy your meal .
verifie tout le monde .	check everyone .
j ai amasse une fortune .	i made a fortune .
continuez a avancer !	just keep moving .
verse moi un verre !	pour me a drink .
tom a hesite .	tom hesitated .
je ne suis pas patiente .	i m not patient .
je suis impatient .	i can t wait .
c est super .	it s awesome .
je n etais pas au courant .	it s news to me .
est ce endommage ?	is it damaged ?
ils sont similaires .	they re similar .
fais un choix !	make a choice .
j ai ete desorientee .	i got confused .
je vais le flinguer .	i will shoot him .
donnez moi votre arme !	give me your gun .
je l aime bien .	i like him .
je vois une rose .	i see a rose .
tu te trompes .	you re mistaken .
ca va etre facile .	it ll be easy .
passe un bon sejour .	have a good time .
je me sens impuissant .	i feel powerless .
c est mon objectif .	that s my goal .
c est minable .	it s pathetic .
ca convient .	that s alright .
sentez ca !	feel this .
j ai besoin d une chambre .	i need a room .
mangez sainement !	eat healthily .
ca fait drole .	it feels weird .
c est moi qui l ai fait .	i did that .
je suis excite .	i m excited .
je fis de mon mieux .	i did my best .
je commence demain .	i begin tomorrow .
je mange des bananes .	i eat bananas .
au lit !	get to bed .
aie ! ca fait mal !	ow ! that hurts !
il abandonna tout espoir .	he gave up hope .
je t en prie .	you go first .
je suis discrete .	i m discreet .
je m en fous .	i don t care .
j irai les chercher .	i ll get them .
une voiture passa .	a car went by .
depeche toi .	hurry up .
j ai dit stop .	i said stop .
c est tout regle .	it s all settled .
peux tu reparer ceci ?	can you fix this ?
je deteste les menteurs .	i hate liars .
vous etes innocente .	you re innocent .
c est un de ces pauvres types !	he s such a jerk .
j aime beaucoup la musique .	i love music .
nous sommes impuissants .	we re helpless .
vous ai je manque ?	did you miss me ?
vous n avez pas paye .	you didn t pay .
il est malade .	he is ill .
elle etait livide .	she was livid .
croque !	take a bite .
elle se fie a lui .	she trusts him .
je suis tres contrarie .	i m very upset .
j aimerais la note je vous prie .	check please .
arretez de hurler .	stop yelling .
ca importe .	it matters .
nous sommes tous en securite .	we re all safe .
je bus le vin .	i drank the wine .
quel grossier personnage !	what a rude man !
ne soyez pas impolie !	don t be rude .
donne moi mon argent .	give me my money .
tom ecrit bien .	tom writes well .
attache ton lacet .	tie your shoe .
je ne dors jamais sur mon lieu de travail .	i never sleep in .
ne te retourne jamais .	never look back .
j y suis alle egalement .	i went too .
elles travaillent .	they re working .
tom est gentil .	tom is nice .
